Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
RAND,30 M,0.0,"1,409",10.067
RAIN,12 M,19069.0,"187,490",1.18
RADX,22 M,100.0,"10,393",2.80
QUCY,32 M,84426.0,"511,983",1.39
QRHC,31 M,0.0,"30,881",1.48
QNTM,22 M,625547.0,"1,827,179",3.46
QNRX,11 M,0.0,"22,857",5.36
QNME,16 M,402819.0,"1,542,617",.4704
QNCX,30 M,1.0,"33,702",30.65
QH,14 M,400.0,"28,921",5.08
QCLS,22 M,9183.0,"99,067",2.82
PULM,5.7 M,0.0,"9,289",1.57
PTN,13 M,0.0,"12,805",7.36
PSQH,14 M,228.0,"47,010",4.15
PSIG,18 M,6355.0,"117,244",1.16
PSHG,22 M,0.0,"53,168",1.76
PRZO,14 M,34063.0,"623,140",.5453
PRT,27 M,390.0,"22,491",2.23
PRSO,11 M,8701.0,"550,065",.7090
PRPL,40 M,0.0,"66,943",9.10
PRHI,17 M,0.0,"3,342",4.5599
PRFX,3.2 M,5117.0,"137,338",1.05
PPSI,32 M,0.0,"89,853",2.89
POM,8.1 M,30404.0,"703,622",1.0900
POLA,6.7 M,1546.0,"100,580",1.73
PMI,7.5 M,5953.0,"72,969",3.64
PMEC,17 M,1671.0,"6,311",.450787
PMCB,5.9 M,1000.0,"202,634",.5460
PMA,17 M,2348.0,"14,313",1.305
PLUR,20 M,0.0,"14,943",1.84
PLSM,21 M,507.0,"13,715",3.26
PLRZ,24 M,3.0,"5,562",11.33
PLCKF,7.2 M,0.0,"5,000",.0642
PLAG,8.1 M,1744.0,"113,126",.5657
PHIO,12 M,0.0,"205,775",1.06
PFAI,28 M,0.0,"1,871",2.41
PETZ,17 M,64077.0,"108,247",1.69
PDC,20 M,617.0,"25,954",2.96
PCSA,8.7 M,917.0,"77,702",2.61
PBM,13 M,943.0,"29,234",3.48
PBK,25 M,14822.0,"742,131",.4618
PAVS,6.5 M,24812.0,"407,816",7.51
PAVM,34 M,0.0,"13,665",4.75
PASW,16 M,24648.0,"937,249",.1320
PASG,14 M,1687.0,"18,662",4.32
PARA,5.5 M,7352.0,"120,005",1.66
PAPL,28 M,149.0,"68,816",1.11
OXBR,11 M,100.0,"5,456",1.31
OSRH,14 M,55030.0,"472,266",.4106
ORKT,5.9 M,0.0,"26,160",1.0100
ORIO,17 M,0.0,"67,762",.6971
ORFDF,26 M,0.0,"1,000",.1040
OPTH,28 M,0.0,"13,233",4.85
OPAD,23 M,0.0,"13,017",4.74
ONMD,38 M,231555.0,"839,196",.660000
ONEG,16 M,6617.0,"65,194",1.025
ONCO,3.3 M,2010.0,"41,906",.8975
OLOX,4.6 M,1621.0,"48,902",3.26
OLB,4.5 M,9073.0,"88,763",.3095
OCG,3.4 M,5504.0,"72,402",1.74
OBAI,12 M,11179.0,"137,054",.4752
NYC,26 M,0.0,"186,824",8.23
NXTT,9.6 M,0.0,"162,189",6.55
NXTC,31 M,220787.0,"1,394,534",6.84
NXPL,17 M,0.0,"28,134",6.36
NXL,7.5 M,0.0,"75,535",.3404
NXGL,3.3 M,3674.0,"78,584",.3624
NWTG,5.2 M,428.0,"10,697",1.14
NWGL,5 M,18362.0,"926,429",.3036
NVNO,6.9 M,0.0,"17,371",10.15
NVNI,12 M,2250.0,"49,573",1.02
NTZ,15 M,0.0,"3,418",1.34
NTRP,23 M,1000.0,"65,126",1.52
NTRB,38 M,0.0,"4,470",3.14
NTIP,36 M,0.0,"18,424",1.58
NTCL,3.7 M,1742.0,"29,151",2.77
NSRX,39 M,60.0,"15,386",3.35
NSPR,37 M,0.0,"107,738",.8003
NRSN,18 M,50949.0,"305,250",.4842
NPRFF,25 M,0.0,"24,000",.19865
NNVC,36 M,30713.0,"800,810",1.40
NMTC,14 M,902.0,"94,690",1.56
NIXX,16 M,23211.0,"370,702",.5557
NIVF,3.6 M,12517.0,"135,568",.6086
NIMUD,8.8 M,0.0,102,8.51
NIKI,7 M,0.0,"5,622",8.62
NHTC,15 M,100.0,"38,251",1.75
NEUP,21 M,0.0,"15,499",3.86
NEON,16 M,1941.0,"128,185",.9700
NDRA,5.6 M,8679.0,"40,710",4.44
NCT,34 M,400.0,"1,055,655",3.54
NCRA,3.2 M,2862.0,"62,606",2.05
NCPL,3.2 M,8084.0,"214,859",.4016
NCNA,6 M,302.0,"22,099",1.44
NCI,28 M,348.0,"118,272",11.57
NCEL,17 M,0.0,"14,509",3.25
NAMI,10 M,139653.0,"685,090",3.18
NALG,32 M,0.0,"1,140",.09455
NAII,15 M,0.0,"1,628",2.33
MYSE,13 M,109.0,"86,602",2.44
MYND,19 M,134.0,"14,384",.3970
MXC,19 M,0.0,"2,482",9.47
MWYN,17 M,917.0,"667,615",.831000
MWG,6 M,15000.0,"32,190",1.165
MTVA,7.4 M,2400.0,"76,773",1.43
MTR,5.3 M,0.0,"2,986",2.85
MTEX,9.5 M,0.0,"2,431",4.90
MTEK,12 M,2477.0,"79,185",1.19
MSN,7.8 M,0.0,"11,612",.3702
MSMGF,23 M,0.0,"10,990",.0980
MSGM,18 M,0.0,"40,120",4.35
MSAI,11 M,370.0,"14,546",5.35
MRNO,18 M,3115.0,"118,237",.2220
MRM,7.8 M,1200.0,"87,901",.9850
MRKR,19 M,0.0,"48,622",1.15
MPU,15 M,0.0,"75,278",.2160
MOGU,16 M,0.0,"3,070",2.00
MODD,11 M,700.0,"61,805",2.00
MOBX,26 M,34364.0,"366,009",1.72
MNXXF,18 M,0.0,"112,480",.0728
MNDO,21 M,0.0,"67,072",1.04
MMA,11 M,0.0,"44,198",.4051
MLEC,5.1 M,0.0,"2,424",7.0065
MLCI,33 M,105.0,"9,565",2.96
MKZR,3.4 M,400.0,"77,864",1.52
MITQ,5.4 M,0.0,"26,560",.5400
MIRA,32 M,52.0,"114,143",.7672
MIMI,14 M,3794.0,"81,865",2.03
MGRX,10 M,222281.0,"4,987,201",.594500
MGIH,20 M,4823.0,"3,403,150",1.74
MF,19 M,13.0,"230,504",10.19
MERC,34 M,2306.0,"933,062",.5100
