Watchlist '24 Hour Trading'

24 Hour Trading
Symbol,myRange,Market Cap,Volume,Last
BSCX,0.29,"1,031 M","139,066",20.835
BSJT,0.33,578 M,"133,902",21.175
GVI,0.14,"3,795 M","132,918",105.42
DFNM,0.13,"2,264 M","132,236",47.855
FMHI,0.44,"1,008 M","130,704",47.8811
SHYD,0.39,456 M,"130,324",22.73
MEAR,0.1,"1,370 M","130,261",50.17
BAR,0.89,"1,463 M","129,481",42.78
IWV,0.51,"20,429 M","128,882",440.29
IBTJ,0.09,"1,351 M","126,838",21.55
IGEB,0.23,"1,513 M","124,472",44.36
MTD,1.77,"28,641 M","123,701",1429.46
ESGV,0.54,"13,677 M","123,100",137.11
BSJS,0.28,743 M,"122,221",21.78
EZA,1.12,578 M,"120,782",69.65
IYF,0.77,"4,386 M","119,423",136.86
FLRT,0.19,669 M,"118,945",46.75
MOO,1.09,973 M,"118,919",81.10
EMHC,0.34,291 M,"118,558",25.055
ESML,0.65,"2,924 M","118,085",55.58
SEIX,0.17,252 M,"116,449",23.26
BKAG,0.22,"2,234 M","116,334",41.375
WEBL,2.94,107 M,"115,495",29.37
EWQ,0.4,335 M,"115,380",47.90
DFIP,0.12,"1,137 M","111,684",40.61
INTF,0.52,"3,751 M","111,263",43.07
DIVI,0.63,"2,779 M","110,389",44.75
XSD,2.93,"2,928 M","108,550",544.67
DDM,1.01,548 M,"103,730",69.42
CWI,0.66,"2,852 M","101,590",41.27
MUST,0.99,597 M,"101,460",20.37
ICOW,0.6,"1,861 M","98,867",45.18
DFAW,0.78,"1,643 M","97,274",85.58
HMOP,0.41,796 M,"96,258",38.82
LGOV,1.05,625 M,"95,806",21.011
FLBR,1.78,548 M,"94,840",21.99
AOK,0.19,793 M,"94,541",41.43
ICLO,0.17,534 M,"94,303",25.605
HYDB,0.13,"1,601 M","93,437",46.42
FIVA,0.62,606 M,"92,683",40.143
BSMS,0.17,316 M,"91,918",23.41
DCOR,0.41,"3,459 M","90,981",85.19
HYLS,0.13,"1,637 M","90,585",40.73
BSMR,0.32,348 M,"90,291",23.694
IBND,1.36,463 M,"89,019",31.29
MMIN,0.27,478 M,"88,122",23.78
FLDR,0.05,"1,983 M","88,000",50.07
CHAU,0.49,98 M,"87,396",22.68
GVAL,0.5,596 M,"86,548",38.00
DSI,0.56,"5,539 M","85,312",147.32
EPHE,0.78,148 M,"84,178",25.97
IBTM,0.18,560 M,"83,938",22.47
FDD,0.54,911 M,"83,802",20.4931
DVYE,0.88,"1,217 M","83,664",34.24
BNDW,0.16,"1,893 M","80,371",67.6939
AOM,0.22,"1,775 M","80,333",49.93
FMB,0.28,"2,062 M","78,355",50.61
QQQE,0.84,"1,415 M","78,328",121.96
IGPT,2.49,"1,150 M","77,082",91.43
AGGY,0.19,926 M,"77,066",42.86
KXI,0.71,"1,071 M","76,964",69.54
IXJ,1.26,"4,193 M","76,632",102.28
PXH,0.64,"1,979 M","75,882",29.30
GWX,0.66,913 M,"75,711",45.63
CURE,5.36,182 M,"75,142",125.18
DGCB,0.39,"1,088 M","74,983",53.58
QLTA,0.26,"1,216 M","72,712",46.60
PPH,1.03,988 M,"71,011",111.1618
IPAC,0.49,"2,765 M","70,213",86.15
BTCL,2.37,26 M,"69,961",12.6836
JSI,0.1,"1,513 M","69,881",51.205
RODM,1.23,"1,654 M","69,141",42.26
ACWV,0.4,"3,383 M","68,714",126.70
IVOO,0.8,"3,921 M","68,280",131.68
MINO,0.22,753 M,"68,107",45.01
IYC,1.56,"1,226 M","66,650",103.91
FLIA,0.15,768 M,"65,428",20.37
HYS,0.14,"1,773 M","65,230",92.83
AOA,0.36,"3,280 M","65,205",99.39
KORP,0.28,899 M,"64,054",45.9873
GEM,1.24,"1,715 M","64,033",50.30
HYGV,0.2,"1,102 M","62,991",40.09
ENFR,1.53,511 M,"62,715",38.4959
AIA,1.71,"4,929 M","60,154",135.24
FNDC,0.51,"3,157 M","59,954",51.00
KOMP,1.27,"2,811 M","59,313",70.59
IEO,2.57,543 M,"58,873",119.28
EDIV,0.48,"1,228 M","58,720",41.85
EWD,0.43,595 M,"58,141",53.61
FIIG,0.27,649 M,"56,786",20.4792
PID,0.4,919 M,"56,199",23.06
IEV,0.56,"1,702 M","56,178",75.81
VIS,1.13,"8,484 M","53,673",356.83
BWZ,0.48,289 M,"53,532",27.27
ROM,1.81,"1,291 M","53,357",148.36
FAN,0.97,281 M,"53,338",23.997
IBMP,0.14,658 M,"52,271",25.35
BBHY,0.1,618 M,"52,224",45.805
PXF,0.59,"2,958 M","52,126",78.885
IDU,1.48,"1,365 M","50,699",110.95
PICB,0.21,362 M,"50,248",23.30
FDEM,1.24,584 M,"49,815",35.5975
BYLD,0.22,443 M,"49,655",22.35
GCOR,0.23,807 M,"49,528",40.56
CNYA,0.38,208 M,"49,483",36.48
RWO,0.95,"1,300 M","48,998",50.79
WIP,0.65,476 M,"48,679",39.63
IBTO,0.25,465 M,"48,200",23.84
IFLN,0.16,307 M,"48,105",18.26
FSMB,0.25,628 M,"47,804",19.96
HYTR,0.16,293 M,"47,263",21.36
GSWO,0.32,"1,799 M","47,024",65.8958
BSJU,0.06,315 M,"46,640",25.795
DDWM,0.37,"1,506 M","46,473",47.73
DUSA,0.64,"1,277 M","46,404",57.50
GIGB,0.24,973 M,"46,312",45.0586
APCB,0.2,"1,008 M","46,162",29.0007
RAVI,0.09,"1,496 M","43,453",75.21
IBMQ,0.12,662 M,"42,472",25.4999
EIS,1.22,903 M,"41,670",123.64
NVR,2.59,"17,029 M","40,019",6390.14
EZBC,1.29,385 M,"39,969",37.53
FLCH,0.49,340 M,"39,935",22.38
DMBS,0.2,704 M,"39,504",48.345
IGRO,0.53,"1,321 M","37,510",93.35
PBUS,0.45,"11,804 M","36,079",77.61
DIAL,0.19,388 M,"33,728",17.975
HEDJ,0.69,"1,875 M","33,408",58.13
BBIN,0.56,"6,590 M","33,180",81.555
CRPT,4.22,83 M,"33,036",11.5014
PIZ,0.77,735 M,"32,603",53.845
NFLT,0.53,462 M,"30,856",22.8256
NUBD,0.22,465 M,"30,050",21.8253
EWJV,0.79,756 M,"29,852",48.14
DGS,0.67,"1,769 M","29,790",63.8599
GREK,0.83,329 M,"28,052",81.79
BSMQ,0.19,271 M,"27,721",23.565
EWO,1.32,187 M,"26,002",43.96
IBMO,0.19,569 M,"26,001",25.62
IFV,0.61,235 M,"25,001",26.1014
HTAB,0.26,291 M,"24,860",18.95
IQDF,0.38,"1,175 M","23,528",35.5945
ETHV,1.44,98 M,"23,431",28.06
FNGS,1.03,0,"22,772",80.78
IQDG,0.38,734 M,"22,590",44.8741
DTH,0.29,663 M,"22,538",58.3753
NFRA,0.57,"3,028 M","22,390",65.765
HCRB,0.43,407 M,"21,337",34.6049
JGLO,0.39,"6,831 M","20,370",74.45
IPO,1.13,161 M,"20,263",55.47
BRRR,1.22,409 M,"18,421",18.3073
PTBD,0.63,86 M,"17,009",19.145
BTCO,0.8,435 M,"16,579",64.60
EEMA,1.19,860 M,"16,011",114.66
ISHG,0.57,828 M,"15,586",75.655
RVNU,0.28,144 M,"15,499",24.86
QETH,0.82,17 M,"14,147",19.08
DBEU,0.47,799 M,"13,634",55.32
JSTC,0.74,306 M,"12,741",23.152
IDLV,0.55,348 M,"12,080",36.399
BBAG,0.21,998 M,"11,222",45.2445
RWX,0.97,270 M,"10,562",28.1201
IDRV,1.06,138 M,"9,775",37.2502
BTCW,0.97,140 M,"9,640",68.66
EMCS,2.13,999 M,"9,416",44.4842
DDLS,0.44,429 M,"9,301",45.8747
MFDX,0.26,471 M,"8,505",42.8033
EZET,1.38,39 M,"5,394",14.535
FNGO,0.74,0,"3,261",153.15
FNGG,0.89,142 M,"2,697",267.73
GQRE,0.7,424 M,"2,047",64.7434
AETH,0.0,4.6 M,145,30.425
BBA,24.49,<empty>,<empty>,0
BK,loading,"94,144 M",<empty>,137.16
EA,0.24,"52,926 M",<empty>,209.70
SATS,NaN,0,<empty>,103.915
