Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
COOT,10.055,13 M,0.0,"53,103",0.0,.4338
COPR,9.43,38 M,632.0,"29,260",632.0,2.73
COSM,13.1734,14 M,146516.0,"3,862,758",167727.0,.2235
CPIFF,16.9317,6.7 M,0.0,"19,404",0.0,.0750
CPOP,14.336,4.8 M,1786384.0,"4,102,712",1798391.0,.3870
CRE,9.49,5.8 M,100.0,"30,924",100.0,2.87
CREX,4.84,39 M,0.0,"22,780",0.0,2.99
CRIS,18.57,7.1 M,1.0,"72,953",1.0,3.66
CRMT,8.36,26 M,724.0,"139,515",724.0,3.13
CRVO,8.08,39 M,14576.0,"384,198",14576.0,2.86
CRWS,3.3,32 M,0.0,"72,685",0.0,2.97
CTNT,5.4,6 M,30310.0,"212,674",30910.0,1.90
CTRM,2.94,20 M,3200.0,"30,757",3200.0,2.09
CTSO,8.3333,23 M,1078.0,"74,586",1268.0,.3620
CTXR,6.1127,19 M,18548.0,"314,780",18548.0,.6770
CUPR,8.81,8.2 M,328.0,"21,823",831.0,3.04
CURX,3.1217,5.5 M,2346.0,"67,286",2346.0,.1934
CVKD,5.37,6.9 M,1225.0,"19,978",1225.0,1.94
CVM,19.64,26 M,524.0,"325,834",524.0,1.49
CVR,1.55,10 M,0.0,"1,620",0.0,10.30
CWD,9.3657,4.5 M,11608.0,"125,775",11608.0,.5057
CXAI,12.3956,18 M,1552727.0,"6,640,401",1623363.0,.1625
CYAB,9.9777,5.2 M,26047.0,"282,084",30275.0,.3415
CYCN,6.27,17 M,200.0,"8,346",200.0,3.58
CYCU,21.9963,7.4 M,375063.0,"6,154,628",380545.0,.6490
CYMHF,0.0,8 M,0.0,"4,000",0.0,.0800
CYN,4.13,18 M,5724.0,"142,690",5724.0,1.24
DAIO,5.72,30 M,0.0,"50,325",0.0,2.89
DARE,4.44,20 M,100.0,"47,365",200.0,1.36
DBGI,27.71,9.8 M,3447.0,"118,288",4147.0,17.05
DDC,37.2691,26 M,28524.0,"718,917",28524.0,.5460
DFLI,6.2,19 M,892.0,"318,007",1092.0,1.31
DFNS,14.47,37 M,21082.0,"489,552",21182.0,37.10
DFSC,13.44,3.2 M,775.0,"27,339",775.0,1.21
DKI,36.41,9.1 M,5895844.0,"12,006,416",5949034.0,4.35
DLPN,6.54,14 M,0.0,"11,132",0.0,1.08
DLXY,6.2222,6.1 M,595.0,"45,586",595.0,.37255
DOGZ,5.0168,13 M,0.0,"14,611",0.0,.9300
DRMA,5.66,4.5 M,1085.0,"26,525",1085.0,1.12
DSS,10.4331,5.1 M,400.0,"36,660",400.0,.5100
DSY,31.18,23 M,65607.0,"367,710",67132.0,4.82
DTST,5.62,7.5 M,0.0,"14,454",0.0,3.20
DUO,5.5195,25 M,1266.0,"10,048",1266.0,.6369
DXLG,16.8762,31 M,1312.0,"29,186",1312.0,.5647
DXST,5.91,5.8 M,3155.0,"41,671",3322.0,2.61
DYAI,5.71,36 M,10.0,"125,284",10.0,.9952
EBON,10.74,13 M,20033.0,"34,282",20033.0,2.07
EDHL,6.65,6.5 M,584.0,"23,856",584.0,3.91
EDTK,9.7889,14 M,0.0,"17,914",0.0,.9000
EDUC,2.17,12 M,0.0,"51,594",0.0,1.39
EEIQ,8.7,4.1 M,100.0,"3,399",100.0,2.48
EFOI,6.55,20 M,0.0,"14,344",0.0,3.0878
EHGO,3.31,6.1 M,33813.0,"115,222",33813.0,1.90
EHLD,2.68,24 M,0.0,"4,967",0.0,8.42
EJH,14.55,4.5 M,0.0,"23,699",0.0,1.42
ELAB,5.6818,4.2 M,28528.0,"195,885",28528.0,.9200
ELOG,5.0031,10 M,800.0,"5,902",800.0,.8100
ELUT,10.5528,36 M,0.0,"30,841",0.0,.8140
ENLV,9.51,34 M,4260.0,"190,278",4260.0,2.01
ENSC,24.438,6.6 M,1208023.0,"5,197,959",1376525.0,.430500
ENVB,4.63,6.2 M,1020.0,"25,339",1020.0,1.54
EONR,4.6808,25 M,16080.0,"344,105",16380.0,.4962
EPOW,24.587,21 M,179038.0,"1,524,166",181197.0,.5501
EPSM,9.26,21 M,1069.0,"23,879",1069.0,1.53
